id,user_id,user_login,user_name,title,description,created_at,published_at,url,thumbnail_url,viewable,view_count,language,type,duration
897982481,50985620,papaplatte,Papaplatte,Das unaufgeräumteste Zimmer Deutschlands.,,2021-02-02T14:04:19Z,2021-02-02T14:04:19Z,https://www.twitch.tv/videos/897982481,,public,2345,de,archive,11h14m6s
896710121,50985620,papaplatte,Papaplatte,Das unaufgeräumteste Zimmer Deutschlands.,,2021-02-01T14:08:04Z,2021-02-01T14:08:04Z,https://www.twitch.tv/videos/896710121,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/279fa54b59c2bdde7039_papaplatte_40405067837_1612188475//thumb/thumb0-%{width}x%{height}.jpg,public,694109,de,archive,8h24m30s
895490897,50985620,papaplatte,Papaplatte,40000€ FIRST EDITION BASESET OPENING (mit Trymacs),,2021-01-31T15:01:39Z,2021-01-31T15:01:39Z,https://www.twitch.tv/videos/895490897,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/be6e55c17faa339bb4b3_papaplatte_40393170701_1612105289//thumb/thumb0-%{width}x%{height}.jpg,public,579120,de,archive,6h55m2s
894237478,50985620,papaplatte,Papaplatte,🚫 NO WEEB ZONE 🚫,,2021-01-30T17:37:56Z,2021-01-30T17:37:56Z,https://www.twitch.tv/videos/894237478,https://static-cdn.jtvnw.net/cf_vods/d3c27h4odz752x/cdaf994248329d084e70_papaplatte_40928361580_1612028266//thumb/thumb0-%{width}x%{height}.jpg,public,768132,de,archive,4h4m2s
890015946,50985620,papaplatte,Papaplatte,digga realrap kein plan kommt einfach rein,,2021-01-27T14:00:32Z,2021-01-27T14:00:32Z,https://www.twitch.tv/videos/890015946,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/ea0ab413773391319660_papaplatte_40340003437_1611756022//thumb/thumb0-%{width}x%{height}.jpg,public,703201,de,archive,11h25m59s
888741528,50985620,papaplatte,Papaplatte,YO YO YO YO YO YO YO YO GAMERZ,,2021-01-26T14:10:53Z,2021-01-26T14:10:53Z,https://www.twitch.tv/videos/888741528,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/421f2920fb5e8c3c2e58_papaplatte_40327724477_1611670241//thumb/thumb0-%{width}x%{height}.jpg,public,677290,de,archive,10h23m48s
887487936,50985620,papaplatte,Papaplatte,Ich hab Geburtstag.,,2021-01-25T14:06:48Z,2021-01-25T14:06:48Z,https://www.twitch.tv/videos/887487936,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/7993186aec8acaf1bc7b_papaplatte_40315724909_1611583599//thumb/thumb0-%{width}x%{height}.jpg,public,563224,de,archive,7h45m20s
886238716,50985620,papaplatte,Papaplatte,Ich hab Geburtstag.,,2021-01-24T13:08:31Z,2021-01-24T13:08:31Z,https://www.twitch.tv/videos/886238716,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/153540a4f28393461580_papaplatte_40303368461_1611493701//thumb/thumb0-%{width}x%{height}.jpg,public,399950,de,archive,4h12m34s
884884209,50985620,papaplatte,Papaplatte,YOOYOYOYOYOYOYOYOYO,,2021-01-23T14:08:44Z,2021-01-23T14:08:44Z,https://www.twitch.tv/videos/884884209,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/bbc517552be69c8904e4_papaplatte_40290594125_1611410914//thumb/thumb0-%{width}x%{height}.jpg,public,703513,de,archive,9h29m48s
880950052,50985620,papaplatte,Papaplatte,EVOLUTIONS XY POKEMON UNBOXING POGCHAMP,,2021-01-20T14:10:23Z,2021-01-20T14:10:23Z,https://www.twitch.tv/videos/880950052,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/194fd6c04bad799a82ab_papaplatte_40252772461_1611151813//thumb/thumb0-%{width}x%{height}.jpg,public,515900,de,archive,9h51m52s
879709359,50985620,papaplatte,Papaplatte,SPIELEABEND MIT REEZE WIDEPEEPOBLANKET FALLS IHR NICHT WISST WAS DAS IST SCHALTET NICHT EIN,,2021-01-19T14:11:36Z,2021-01-19T14:11:36Z,https://www.twitch.tv/videos/879709359,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/f7fdf6f067331f07e622_papaplatte_40241097981_1611065487//thumb/thumb0-%{width}x%{height}.jpg,public,742448,de,archive,9h7m2s
878451416,50985620,papaplatte,Papaplatte,RUST SERVER NEUE REGELN 17 UHR POGCHAMPERS,,2021-01-18T14:02:14Z,2021-01-18T14:02:14Z,https://www.twitch.tv/videos/878451416,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/fd68ee91efefebb0e16f_papaplatte_40228405645_1610978524//thumb/thumb0-%{width}x%{height}.jpg,public,670687,de,archive,10h36m44s
877226097,50985620,papaplatte,Papaplatte,#1 CRYBABY DEUTSCHLAND,,2021-01-17T14:10:02Z,2021-01-17T14:10:02Z,https://www.twitch.tv/videos/877226097,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/4ccb02c9dd5824583187_papaplatte_40216068237_1610892592//thumb/thumb0-%{width}x%{height}.jpg,public,590029,de,archive,8h7m52s
875838168,50985620,papaplatte,Papaplatte,HEY FREUNDE KLICKT DOCH SMILEW,,2021-01-16T14:04:12Z,2021-01-16T14:04:12Z,https://www.twitch.tv/videos/875838168,https://static-cdn.jtvnw.net/cf_vods/d3c27h4odz752x/21aa4f1c41d3d4a54532_papaplatte_40760445788_1610805841//thumb/thumb0-%{width}x%{height}.jpg,public,486774,de,archive,9h19m50s
